date,^FTSE paper_value,^FTSE normalised_value,cash,GSK.L,GSK.L qty,SGE.L,SGE.L qty,NG.L,NG.L qty,WHR.L,WHR.L qty,SSE.L,SSE.L qty,RHIM.L,RHIM.L qty,ICP.L,ICP.L qty,ASC.L,ASC.L qty,total_asset_value,normalised_asset_value
2020-05-18,2375706.0,100.0,1134.0,669818.38,397,522151.88,802,355884.42,394,346139.39,3345,206885.0,161,160080.0,69,70213.08,64,57267.0,21,2389573.15,100.58
2020-05-19,2373883.55,99.92,1134.0,659258.19,397,528034.81,802,348411.36,394,357677.38,3345,196983.5,161,154284.0,69,70897.78,64,55125.0,21,2371806.02,99.84
2020-05-20,2379009.29,100.14,1134.0,669103.81,397,539641.74,802,350088.98,394,356029.1,3345,196983.5,161,158700.0,69,70773.29,64,58149.0,21,2400603.42,101.05
2020-05-21,2372884.32,99.88,1134.0,660687.38,397,542633.18,802,346581.24,394,359325.66,3345,193924.5,161,158148.0,69,70150.83,64,57855.0,21,2390439.79,100.62
2020-05-22,2369419.13,99.74,1134.0,660290.38,397,545199.59,802,335752.95,394,362622.22,3345,190543.5,161,158562.0,69,70648.8,64,59220.0,21,2383973.44,100.35
2020-05-26,2384106.64,100.35,1134.0,654414.81,397,557871.18,802,340099.53,394,375808.47,3345,194327.0,161,160218.0,69,75877.43,64,62517.0,21,2422267.42,101.96
2020-05-27,2402183.63,101.11,1134.0,654494.19,397,557550.41,802,343912.29,394,382401.6,3345,196581.0,161,162150.0,69,77433.57,64,61068.0,21,2436725.06,102.57
2020-05-28,2422668.58,101.98,1134.0,668389.19,397,555786.0,802,353520.49,394,380753.32,3345,198030.0,161,167256.0,69,80857.08,64,61572.0,21,2467298.08,103.86
2020-05-29,2378136.22,100.1,1134.0,663704.62,397,554182.0,802,353062.96,394,370863.63,3345,199881.5,161,166980.0,69,79051.96,64,62916.0,21,2451776.67,103.2
2020-06-01,2409769.43,101.43,1134.0,659734.62,397,549530.41,802,354283.05,394,365918.79,3345,201411.0,161,175950.0,69,79487.68,64,63840.0,21,2451289.54,103.18
2020-06-02,2430754.95,102.32,1134.0,655288.19,397,542954.0,802,357714.53,394,364270.51,3345,206482.5,161,172500.0,69,81417.29,64,66318.0,21,2448079.02,103.05
2020-06-03,2494180.14,104.99,1134.0,660846.19,397,551134.41,802,366483.92,394,377456.75,3345,209863.5,161,186300.0,69,86272.45,64,67830.0,21,2507321.23,105.54
